Ýstanbul Barajlarýnýn Günlük Doluluk Oranlarý (%);;;;;;;;;;
Tarih;Ömerli;Darlik;Elmali;Terkos;Alibey;Büyükçekmece;Sazlidere;Kazandere;Pabuçdere;Istrancalar
7.02.2016;96,04%;99,54%;27,94%;90,72%;73,86%;65,01%;59,51%;88,61%;88,95%;99,99%
8.02.2016;96,21%;99,99%;29,80%;90,92%;74,74%;65,56%;59,68%;89,72%;90,06%;99,99%
9.02.2016;96,21%;100,00%;28,52%;91,11%;75,22%;65,93%;60,02%;90,56%;90,89%;98,26%
10.02.2016;96,12%;100,00%;28,96%;91,30%;75,62%;66,11%;60,46%;91,02%;91,35%;96,51%
11.02.2016;96,04%;100,00%;29,43%;91,68%;75,91%;66,11%;60,82%;94,71%;94,99%;93,84%
12.02.2016;96,54%;100,00%;30,42%;91,87%;76,21%;66,66%;61,09%;100,00%;98,84%;91,41%
13.02.2016;97,13%;100,00%;31,22%;92,63%;76,60%;67,39%;61,38%;100,00%;97,76%;92,29%
14.02.2016;97,46%;100,00%;32,24%;93,79%;76,90%;67,76%;61,87%;100,00%;94,99%;91,28%
15.02.2016;97,38%;100,00%;32,75%;94,75%;77,19%;68,13%;61,87%;100,00%;94,42%;89,99%
16.02.2016;97,29%;100,00%;33,30%;94,94%;77,29%;68,31%;62,06%;100,00%;93,85%;90,25%
17.02.2016;97,04%;100,00%;33,48%;94,94%;77,19%;68,49%;61,96%;100,00%;93,32%;91,19%
18.02.2016;96,79%;100,00%;33,70%;94,94%;77,09%;68,68%;61,87%;100,00%;92,79%;91,83%
19.02.2016;96,54%;100,00%;33,95%;95,14%;76,99%;68,86%;61,96%;100,00%;93,32%;99,21%
20.02.2016;96,37%;100,00%;34,21%;94,75%;76,80%;68,68%;61,77%;100,00%;93,64%;99,99%
21.02.2016;96,29%;100,00%;34,57%;94,94%;76,60%;69,04%;61,96%;100,00%;93,74%;99,99%
22.02.2016;96,04%;100,00%;34,90%;94,75%;76,50%;69,04%;61,77%;100,00%;93,85%;99,99%
23.02.2016;95,87%;100,00%;34,90%;94,56%;76,30%;69,04%;61,77%;100,00%;94,08%;99,99%
24.02.2016;95,62%;100,00%;35,30%;94,17%;76,21%;69,23%;61,87%;100,00%;94,08%;99,99%
25.02.2016;95,79%;100,00%;36,51%;94,56%;76,21%;69,59%;61,96%;100,00%;95,24%;99,99%
26.02.2016;95,87%;100,00%;37,13%;94,75%;76,21%;69,78%;62,06%;100,00%;95,49%;99,99%
27.02.2016;95,96%;100,00%;38,98%;94,75%;76,21%;69,96%;62,23%;100,00%;94,99%;99,99%
28.02.2016;96,12%;100,00%;40,55%;94,56%;76,01%;70,15%;62,06%;100,00%;95,41%;99,99%
29.02.2016;96,29%;100,00%;40,83%;94,56%;75,81%;70,15%;61,96%;100,00%;94,99%;99,99%
1.03.2016;96,37%;100,00%;41,04%;94,36%;75,72%;70,33%;61,96%;100,00%;94,99%;99,99%
2.03.2016;96,21%;100,00%;41,33%;94,36%;75,62%;70,51%;61,87%;100,00%;94,99%;99,99%
3.03.2016;97,46%;100,00%;49,27%;95,14%;76,60%;71,43%;62,38%;100,00%;95,24%;99,99%
4.03.2016;98,90%;100,00%;53,23%;95,52%;77,49%;71,98%;62,53%;100,00%;95,24%;99,99%
5.03.2016;99,15%;100,00%;54,69%;96,10%;78,68%;73,26%;62,98%;100,00%;95,24%;99,99%
6.03.2016;99,15%;100,00%;55,68%;95,91%;79,48%;73,45%;62,98%;100,00%;95,24%;99,99%
7.03.2016;98,90%;100,00%;56,04%;95,91%;79,78%;73,63%;63,22%;100,00%;95,24%;99,99%
8.03.2016;98,81%;100,00%;56,20%;95,91%;79,88%;73,82%;63,22%;100,00%;95,24%;99,99%
9.03.2016;98,56%;100,00%;56,56%;95,72%;79,88%;74,00%;63,54%;100,00%;95,24%;99,99%
10.03.2016;98,22%;100,00%;57,14%;95,72%;79,88%;74,18%;63,46%;100,00%;95,24%;99,99%
11.03.2016;97,80%;100,00%;57,29%;95,52%;79,88%;74,18%;63,46%;100,00%;95,24%;99,99%
12.03.2016;97,46%;100,00%;57,34%;95,52%;79,58%;74,37%;63,30%;100,00%;95,24%;99,99%
13.03.2016;97,04%;100,00%;57,55%;95,33%;79,58%;74,55%;63,30%;100,00%;94,99%;99,99%
14.03.2016;96,79%;99,99%;58,02%;94,94%;79,38%;74,73%;63,38%;100,00%;95,24%;99,99%
15.03.2016;96,37%;100,00%;58,28%;94,94%;79,28%;74,73%;63,06%;100,00%;95,24%;99,99%
16.03.2016;95,96%;100,00%;58,18%;94,75%;79,08%;74,73%;62,90%;100,00%;95,24%;99,99%
17.03.2016;95,54%;100,00%;58,49%;94,56%;79,08%;74,73%;62,82%;100,00%;95,24%;99,99%
18.03.2016;95,04%;99,99%;58,75%;94,56%;78,88%;74,73%;62,53%;100,00%;95,24%;99,99%
19.03.2016;94,54%;99,98%;58,85%;94,56%;78,98%;74,73%;62,82%;100,00%;95,24%;99,99%
20.03.2016;94,21%;99,86%;59,11%;94,36%;78,78%;74,92%;62,68%;100,00%;95,24%;99,99%
21.03.2016;93,80%;99,76%;59,06%;93,98%;78,48%;74,92%;62,60%;100,00%;94,99%;99,99%
22.03.2016;93,30%;99,60%;59,11%;93,79%;78,48%;74,92%;62,53%;100,00%;94,99%;99,99%
23.03.2016;93,14%;99,33%;59,17%;93,79%;78,19%;75,10%;62,60%;100,00%;94,99%;99,99%
24.03.2016;92,72%;99,23%;59,38%;93,40%;78,09%;74,92%;62,60%;100,00%;94,99%;99,99%
25.03.2016;92,56%;99,07%;61,10%;93,59%;77,79%;75,47%;62,45%;100,00%;94,99%;99,99%
26.03.2016;92,81%;99,49%;63,35%;93,59%;77,89%;76,03%;62,38%;100,00%;96,76%;99,99%
27.03.2016;93,47%;100,00%;64,85%;94,17%;77,99%;76,03%;62,23%;100,00%;95,83%;99,99%
28.03.2016;93,55%;100,00%;65,04%;94,17%;77,99%;76,22%;62,31%;100,00%;95,83%;99,99%
29.03.2016;93,47%;100,00%;65,29%;94,17%;77,79%;76,22%;62,16%;100,00%;95,66%;99,87%
30.03.2016;93,47%;100,00%;65,42%;94,36%;77,79%;76,41%;62,31%;100,00%;95,66%;99,81%
31.03.2016;93,30%;100,00%;65,48%;94,36%;77,49%;76,41%;62,23%;100,00%;95,33%;99,76%
1.04.2016;93,30%;100,00%;59,27%;94,36%;77,49%;76,41%;62,23%;100,00%;95,16%;99,55%
2.04.2016;93,47%;100,00%;57,03%;94,56%;77,39%;76,41%;62,31%;100,00%;94,99%;99,27%
3.04.2016;93,63%;99,99%;57,19%;94,36%;76,99%;76,59%;61,87%;100,00%;94,42%;98,90%
4.04.2016;93,71%;99,92%;57,03%;94,36%;76,70%;76,59%;61,77%;100,00%;93,85%;97,85%
5.04.2016;93,80%;99,76%;57,19%;94,17%;76,60%;76,41%;61,48%;100,00%;93,32%;95,81%
6.04.2016;93,88%;99,60%;57,34%;94,17%;76,50%;76,41%;61,38%;100,00%;92,79%;94,26%
7.04.2016;93,96%;99,23%;57,40%;93,98%;76,30%;76,41%;61,38%;100,00%;92,49%;92,61%
8.04.2016;94,13%;99,12%;57,66%;93,98%;76,01%;76,41%;61,38%;100,00%;92,10%;91,31%
9.04.2016;94,21%;98,91%;57,66%;93,79%;75,81%;76,41%;61,09%;100,00%;92,10%;89,98%
10.04.2016;94,37%;98,64%;57,71%;93,79%;75,72%;76,41%;61,28%;100,00%;92,30%;88,66%
11.04.2016;94,37%;98,37%;57,76%;93,79%;75,62%;76,41%;61,00%;100,00%;91,80%;87,81%
12.04.2016;94,46%;98,21%;57,76%;93,98%;75,32%;76,41%;60,73%;100,00%;91,35%;87,94%
13.04.2016;94,46%;97,95%;57,60%;93,79%;75,32%;76,41%;60,55%;100,00%;90,73%;88,11%
14.04.2016;94,46%;97,68%;57,92%;93,79%;75,32%;76,22%;60,64%;100,00%;90,06%;87,03%
15.04.2016;94,46%;97,36%;58,02%;93,79%;75,32%;76,41%;60,37%;99,76%;89,73%;87,05%
16.04.2016;94,37%;97,15%;58,23%;93,79%;75,13%;76,41%;60,11%;99,39%;89,28%;86,17%
17.04.2016;94,21%;96,83%;58,23%;93,59%;75,13%;76,03%;60,02%;99,27%;88,95%;84,97%
18.04.2016;94,13%;96,57%;58,07%;93,40%;75,03%;76,03%;59,77%;98,78%;88,42%;84,13%
19.04.2016;94,13%;96,25%;58,02%;93,21%;75,03%;75,84%;59,68%;98,21%;87,90%;81,39%
20.04.2016;93,96%;95,98%;58,02%;93,21%;75,13%;75,84%;59,85%;97,64%;87,42%;82,34%
21.04.2016;93,71%;95,66%;58,02%;93,02%;74,83%;75,84%;59,27%;96,79%;86,94%;81,22%
22.04.2016;93,47%;95,34%;58,02%;92,83%;74,83%;75,47%;58,96%;95,80%;86,40%;79,44%
23.04.2016;93,14%;95,08%;58,33%;92,83%;74,64%;75,47%;58,88%;94,89%;85,88%;77,63%
24.04.2016;92,97%;94,76%;58,02%;92,63%;74,74%;75,28%;58,73%;93,79%;85,64%;75,99%
25.04.2016;92,81%;94,65%;58,49%;92,63%;74,64%;75,28%;58,73%;92,91%;85,39%;76,13%
26.04.2016;92,72%;94,65%;58,44%;92,63%;74,74%;75,10%;58,65%;92,28%;85,23%;75,43%
27.04.2016;92,64%;94,33%;58,75%;92,63%;74,44%;75,28%;58,51%;91,78%;85,01%;79,42%
28.04.2016;92,48%;94,01%;58,75%;92,63%;74,44%;75,10%;58,36%;94,13%;84,68%;78,67%
29.04.2016;92,23%;93,69%;58,96%;92,63%;74,35%;75,10%;58,36%;93,56%;84,13%;77,60%
30.04.2016;91,90%;93,48%;58,96%;92,44%;74,74%;75,10%;58,36%;93,02%;83,82%;76,76%
1.05.2016;91,58%;93,05%;58,91%;92,63%;74,54%;74,92%;58,29%;92,48%;83,31%;75,48%
2.05.2016;91,25%;92,79%;58,85%;92,44%;74,54%;74,73%;58,01%;91,98%;82,92%;74,53%
3.05.2016;90,92%;92,41%;58,91%;92,44%;74,64%;74,55%;58,08%;91,02%;82,63%;73,43%
4.05.2016;90,68%;92,41%;58,85%;92,83%;74,93%;74,55%;58,08%;90,56%;82,16%;73,75%
5.05.2016;90,35%;92,29%;59,01%;93,21%;74,93%;74,55%;58,15%;90,14%;81,72%;72,94%
6.05.2016;90,19%;92,12%;58,91%;93,40%;75,13%;74,73%;58,15%;89,72%;81,28%;71,62%
7.05.2016;89,96%;91,75%;58,91%;93,59%;75,13%;74,73%;58,01%;89,16%;80,88%;70,26%
8.05.2016;89,81%;91,55%;58,96%;93,79%;75,22%;74,55%;58,01%;88,94%;80,48%;68,74%
9.05.2016;89,59%;91,19%;58,85%;93,59%;75,13%;74,55%;58,08%;88,83%;79,94%;67,20%
10.05.2016;89,38%;90,87%;58,85%;93,59%;75,22%;74,37%;58,15%;88,61%;79,51%;65,06%
11.05.2016;89,04%;90,50%;58,85%;93,59%;75,22%;74,18%;57,94%;88,20%;79,10%;62,09%
12.05.2016;88,77%;90,18%;58,91%;93,40%;75,42%;74,00%;57,94%;87,58%;77,66%;59,99%
13.05.2016;88,41%;89,86%;58,85%;93,40%;75,42%;74,00%;58,15%;87,01%;78,12%;58,04%
14.05.2016;88,01%;89,59%;59,01%;93,40%;75,72%;73,63%;58,01%;86,45%;77,75%;55,78%
15.05.2016;87,85%;89,33%;58,91%;93,40%;75,81%;73,45%;58,08%;85,92%;77,47%;55,09%
16.05.2016;87,37%;88,85%;58,96%;93,21%;75,62%;73,45%;57,94%;85,42%;77,04%;54,35%
17.05.2016;87,05%;88,58%;58,75%;93,21%;75,42%;73,08%;57,75%;84,72%;76,61%;53,65%
18.05.2016;86,89%;88,32%;58,75%;93,02%;75,52%;72,90%;57,75%;83,88%;76,22%;52,93%
19.05.2016;86,57%;87,84%;58,75%;92,83%;75,62%;72,71%;57,56%;82,89%;75,82%;52,17%
20.05.2016;86,17%;87,57%;58,75%;92,83%;75,42%;72,53%;57,56%;81,98%;75,19%;51,46%
21.05.2016;85,86%;87,20%;58,70%;92,83%;74,64%;72,35%;57,37%;81,30%;75,51%;50,83%
22.05.2016;85,38%;86,88%;58,85%;92,83%;74,35%;72,53%;57,37%;80,74%;75,19%;52,68%
23.05.2016;85,22%;86,61%;58,85%;92,83%;74,05%;72,16%;57,27%;80,67%;75,09%;50,44%
24.05.2016;84,91%;86,40%;58,85%;92,63%;73,47%;71,98%;57,08%;80,36%;74,77%;48,76%
25.05.2016;84,67%;86,08%;58,85%;92,63%;72,51%;71,80%;56,90%;79,97%;73,89%;48,25%
26.05.2016;84,35%;85,82%;58,85%;93,02%;71,26%;71,61%;56,90%;79,59%;73,33%;48,06%
27.05.2016;84,28%;85,50%;58,65%;93,02%;70,01%;71,43%;56,73%;79,13%;72,87%;47,83%
28.05.2016;84,35%;85,28%;60,67%;92,83%;69,26%;71,25%;56,46%;78,50%;72,28%;47,51%
29.05.2016;84,28%;84,97%;60,67%;93,02%;68,41%;71,06%;56,46%;78,09%;71,72%;45,73%
30.05.2016;84,20%;84,65%;60,73%;92,83%;67,38%;70,88%;56,46%;77,67%;71,26%;43,76%
31.05.2016;83,96%;84,22%;60,67%;92,83%;66,35%;70,70%;56,46%;77,29%;70,43%;44,09%
1.06.2016;83,72%;83,90%;60,67%;92,83%;64,96%;70,51%;56,29%;76,69%;69,65%;44,50%
2.06.2016;83,25%;83,63%;60,54%;92,63%;64,23%;70,33%;55,94%;76,20%;68,90%;44,37%
3.06.2016;83,02%;83,32%;60,60%;92,44%;63,40%;69,96%;55,78%;75,91%;68,20%;44,56%
4.06.2016;82,71%;83,00%;60,54%;92,25%;63,13%;69,78%;55,45%;75,62%;67,54%;44,61%
5.06.2016;82,47%;82,78%;60,54%;92,06%;63,68%;69,59%;55,54%;76,20%;68,36%;46,56%
6.06.2016;82,32%;82,30%;60,60%;91,87%;63,68%;69,41%;55,37%;76,20%;67,95%;46,86%
7.06.2016;82,08%;82,15%;60,54%;91,49%;63,22%;69,23%;55,29%;76,55%;67,54%;47,73%
8.06.2016;82,00%;81,77%;60,54%;91,11%;63,31%;68,86%;55,14%;76,55%;67,16%;48,68%
9.06.2016;82,00%;81,67%;60,60%;90,72%;63,13%;68,68%;54,99%;76,55%;66,78%;49,36%
10.06.2016;82,16%;81,29%;56,25%;90,34%;62,95%;68,31%;54,76%;76,90%;66,07%;49,97%
11.06.2016;82,32%;80,97%;54,17%;90,15%;62,86%;67,94%;54,69%;76,90%;65,48%;50,36%
12.06.2016;82,39%;80,71%;52,40%;89,77%;62,86%;67,76%;54,69%;76,90%;64,82%;50,77%
13.06.2016;82,39%;80,50%;51,15%;89,40%;62,49%;67,39%;54,61%;76,90%;64,30%;51,14%
14.06.2016;82,39%;80,12%;50,57%;89,21%;62,22%;66,84%;54,46%;76,55%;63,78%;51,50%
15.06.2016;82,63%;79,96%;50,89%;88,83%;62,22%;67,21%;54,40%;76,55%;63,54%;52,03%
16.06.2016;82,47%;79,64%;50,68%;88,64%;62,22%;66,84%;54,40%;76,20%;63,14%;52,32%
17.06.2016;82,79%;79,33%;50,16%;88,45%;62,04%;66,48%;54,33%;76,20%;62,84%;52,37%
18.06.2016;82,86%;79,06%;49,64%;88,07%;61,59%;66,29%;54,33%;76,01%;62,31%;52,69%
19.06.2016;82,79%;78,79%;49,06%;87,88%;61,05%;66,11%;54,12%;75,72%;61,68%;53,10%
20.06.2016;82,63%;78,31%;48,80%;87,69%;60,51%;65,74%;53,91%;75,72%;60,94%;53,50%
21.06.2016;82,55%;78,05%;47,97%;87,51%;60,06%;65,38%;53,98%;75,72%;60,32%;53,81%
22.06.2016;82,39%;77,94%;47,29%;87,13%;59,62%;65,19%;53,66%;75,72%;59,80%;54,01%
23.06.2016;82,24%;77,68%;46,77%;86,75%;58,99%;64,82%;53,48%;75,72%;59,32%;54,20%
24.06.2016;82,00%;77,36%;46,25%;86,56%;58,46%;64,46%;53,11%;75,72%;58,81%;54,39%
25.06.2016;81,85%;76,88%;45,73%;86,19%;57,85%;64,09%;52,93%;75,72%;58,19%;54,57%
26.06.2016;81,54%;76,61%;45,31%;86,00%;57,49%;63,72%;52,59%;75,72%;57,83%;55,16%
27.06.2016;81,46%;76,13%;44,90%;85,82%;56,88%;63,36%;52,33%;75,24%;57,47%;55,52%
28.06.2016;81,23%;75,87%;43,96%;85,44%;56,45%;62,99%;51,99%;75,24%;57,00%;55,87%
29.06.2016;81,15%;75,65%;43,13%;85,25%;56,18%;62,81%;51,76%;75,06%;56,68%;56,10%
30.06.2016;81,07%;76,19%;42,29%;85,07%;55,84%;62,44%;51,60%;75,06%;56,49%;56,44%
1.07.2016;80,99%;76,13%;41,04%;84,69%;56,36%;62,07%;51,36%;75,06%;56,30%;56,71%
2.07.2016;80,84%;75,87%;40,26%;84,51%;56,36%;62,07%;51,28%;75,06%;56,07%;56,93%
3.07.2016;80,68%;75,55%;39,53%;83,95%;56,27%;61,71%;51,21%;76,62%;55,84%;56,96%
4.07.2016;80,53%;75,28%;38,80%;83,76%;56,10%;61,34%;50,91%;74,88%;55,23%;57,02%
5.07.2016;80,30%;75,07%;38,07%;83,76%;55,75%;61,15%;50,70%;74,70%;54,86%;56,80%
6.07.2016;80,30%;74,70%;37,34%;83,76%;56,10%;60,79%;50,70%;74,70%;54,50%;56,51%
7.07.2016;80,22%;74,43%;36,61%;83,39%;56,01%;60,60%;50,55%;74,52%;54,02%;56,10%
8.07.2016;79,99%;74,11%;35,89%;83,20%;55,84%;60,24%;50,62%;74,52%;53,56%;55,53%
9.07.2016;79,76%;73,79%;35,16%;82,83%;55,75%;59,87%;50,35%;74,34%;53,13%;54,60%
10.07.2016;79,53%;73,42%;34,79%;82,46%;55,40%;59,50%;50,15%;74,18%;52,55%;54,42%
11.07.2016;79,14%;73,10%;31,51%;82,28%;55,23%;59,14%;50,01%;74,01%;51,88%;53,63%
12.07.2016;78,76%;72,83%;27,86%;81,72%;55,06%;58,77%;50,01%;74,01%;51,17%;52,92%
13.07.2016;78,37%;72,51%;19,79%;81,54%;54,80%;58,59%;49,95%;73,84%;50,51%;52,13%
14.07.2016;78,15%;72,19%;14,58%;81,35%;54,46%;58,22%;49,70%;73,68%;49,78%;51,50%
15.07.2016;77,69%;71,93%;10,42%;80,98%;54,20%;57,85%;49,52%;73,51%;49,23%;50,84%
16.07.2016;77,46%;71,61%;6,51%;80,43%;54,03%;57,67%;49,26%;73,36%;48,54%;50,26%
17.07.2016;77,15%;71,29%;3,65%;80,25%;53,77%;56,94%;49,26%;73,20%;48,06%;50,10%
18.07.2016;76,70%;71,02%;1,04%;79,88%;53,51%;56,76%;48,75%;72,90%;47,59%;50,04%
19.07.2016;76,39%;70,65%;0,53%;79,33%;53,17%;56,58%;48,66%;72,60%;47,03%;50,06%
20.07.2016;76,01%;70,39%;0,53%;78,97%;52,66%;56,23%;48,50%;72,46%;46,62%;50,48%
21.07.2016;75,71%;70,01%;0,53%;78,60%;52,49%;56,05%;48,25%;72,32%;45,98%;51,03%
22.07.2016;75,49%;69,69%;0,53%;78,24%;52,32%;55,52%;47,94%;72,18%;45,55%;51,53%
23.07.2016;75,03%;69,32%;0,53%;77,87%;51,90%;55,34%;47,71%;72,04%;44,87%;52,00%
24.07.2016;74,73%;69,11%;0,53%;77,51%;51,73%;55,16%;47,56%;71,83%;44,24%;52,49%
25.07.2016;74,28%;68,74%;0,53%;76,96%;51,48%;54,81%;47,26%;71,62%;43,54%;52,99%
26.07.2016;73,91%;68,42%;0,53%;76,78%;51,06%;54,45%;47,19%;71,21%;43,43%;53,18%
27.07.2016;73,53%;68,10%;0,53%;76,42%;50,64%;54,28%;46,77%;71,21%;43,48%;53,09%
28.07.2016;73,16%;67,83%;0,53%;76,05%;50,31%;53,92%;46,56%;69,32%;43,06%;53,11%
29.07.2016;72,71%;67,51%;0,53%;75,69%;49,98%;53,57%;46,43%;68,97%;42,42%;52,74%
30.07.2016;72,34%;67,14%;0,53%;75,51%;50,31%;53,21%;46,05%;68,56%;41,57%;52,08%
31.07.2016;71,97%;66,82%;0,53%;75,33%;50,23%;53,03%;45,79%;68,31%;41,15%;51,04%
1.08.2016;71,45%;66,50%;0,53%;74,97%;50,14%;52,68%;45,62%;68,31%;40,64%;49,72%
2.08.2016;70,93%;66,13%;0,53%;74,61%;49,89%;52,32%;45,36%;68,23%;40,27%;48,18%
3.08.2016;70,56%;65,86%;0,53%;74,25%;49,56%;52,14%;45,11%;68,16%;39,84%;46,66%
4.08.2016;70,56%;65,60%;0,53%;73,71%;49,48%;51,79%;44,79%;68,08%;39,44%;44,07%
5.08.2016;70,56%;65,28%;0,53%;73,53%;49,31%;51,43%;44,47%;67,70%;39,05%;41,76%
6.08.2016;69,82%;65,01%;0,53%;73,35%;49,23%;51,08%;44,32%;67,55%;38,61%;39,72%
7.08.2016;69,31%;64,75%;0,53%;73,00%;49,15%;50,90%;44,17%;67,06%;38,14%;37,89%
8.08.2016;68,73%;64,43%;0,53%;72,82%;48,90%;50,55%;43,65%;66,56%;37,48%;38,01%
9.08.2016;68,00%;64,05%;0,53%;72,46%;48,57%;50,19%;43,59%;66,10%;37,38%;36,87%
10.08.2016;67,27%;63,68%;0,53%;72,10%;48,24%;50,01%;43,24%;65,63%;36,98%;35,37%
11.08.2016;66,77%;63,36%;0,53%;71,92%;48,16%;49,66%;42,97%;65,20%;36,71%;33,98%
12.08.2016;66,33%;63,07%;0,53%;71,74%;48,08%;49,48%;42,85%;64,77%;36,34%;32,72%
13.08.2016;65,90%;62,85%;0,53%;71,21%;47,67%;49,12%;42,59%;64,38%;35,94%;31,87%
14.08.2016;65,54%;62,67%;0,53%;70,50%;47,67%;48,59%;42,47%;63,98%;35,75%;30,87%
15.08.2016;65,26%;62,45%;0,53%;70,15%;47,26%;48,24%;42,34%;63,83%;35,47%;30,06%
16.08.2016;64,83%;62,19%;0,53%;69,79%;47,10%;48,06%;42,01%;63,25%;35,22%;28,60%
17.08.2016;64,54%;61,93%;0,53%;69,44%;46,78%;47,53%;41,68%;63,06%;34,92%;27,39%
18.08.2016;64,33%;61,75%;0,53%;69,09%;46,29%;47,35%;41,60%;62,87%;34,65%;26,21%
19.08.2016;63,97%;61,49%;0,53%;68,56%;46,05%;47,17%;41,44%;62,68%;34,23%;26,33%
20.08.2016;63,69%;61,27%;0,53%;68,21%;45,81%;46,82%;41,37%;62,30%;33,78%;26,50%
21.08.2016;63,40%;61,09%;0,53%;67,86%;45,57%;46,82%;40,90%;61,86%;33,40%;26,66%
22.08.2016;63,26%;60,87%;0,53%;67,51%;45,33%;46,28%;40,68%;61,42%;33,13%;26,85%
23.08.2016;62,91%;60,68%;0,53%;66,98%;45,01%;46,28%;40,61%;61,59%;33,01%;27,08%
24.08.2016;62,55%;60,43%;0,53%;66,45%;44,85%;46,10%;40,39%;61,77%;32,92%;27,15%
25.08.2016;62,62%;60,39%;0,53%;65,93%;44,69%;45,75%;40,18%;61,95%;32,84%;27,16%
26.08.2016;62,76%;60,83%;0,53%;65,41%;44,61%;45,39%;40,04%;61,77%;32,72%;27,51%
27.08.2016;62,55%;60,68%;0,53%;65,24%;44,45%;45,04%;39,84%;61,59%;32,48%;27,74%
28.08.2016;62,27%;60,50%;0,53%;65,06%;44,29%;44,68%;39,51%;61,34%;32,37%;28,13%
29.08.2016;61,92%;60,28%;0,54%;64,89%;44,21%;44,51%;39,38%;61,09%;31,86%;29,10%
30.08.2016;61,50%;60,06%;0,53%;64,54%;44,13%;44,33%;39,32%;60,60%;31,43%;29,48%
31.08.2016;61,15%;59,80%;0,53%;64,37%;43,97%;43,97%;39,20%;60,22%;31,07%;29,87%
1.09.2016;60,79%;59,58%;0,53%;64,02%;43,81%;43,80%;39,26%;59,84%;30,77%;30,29%
2.09.2016;60,38%;59,43%;0,53%;63,50%;43,66%;43,44%;39,20%;59,56%;30,65%;29,25%
3.09.2016;60,03%;59,18%;0,53%;62,99%;43,50%;43,26%;38,89%;59,42%;30,52%;31,17%
4.09.2016;59,82%;59,07%;0,53%;62,47%;43,34%;42,91%;38,83%;59,14%;30,34%;31,67%
5.09.2016;59,47%;58,85%;0,53%;62,13%;43,18%;42,55%;38,61%;58,71%;30,05%;31,88%
6.09.2016;59,21%;58,63%;0,53%;61,61%;42,79%;42,37%;38,38%;58,28%;29,80%;32,15%
7.09.2016;58,91%;58,44%;0,53%;61,10%;42,87%;42,20%;38,38%;57,88%;29,46%;32,42%
8.09.2016;58,41%;58,22%;0,53%;60,76%;42,71%;42,20%;38,30%;57,63%;29,18%;32,70%
9.09.2016;57,97%;58,00%;0,53%;60,42%;42,63%;41,84%;38,14%;57,40%;29,05%;33,05%
10.09.2016;57,54%;57,74%;0,53%;60,08%;42,63%;42,02%;37,98%;57,25%;28,88%;32,03%
11.09.2016;56,99%;57,56%;0,53%;59,57%;42,56%;41,49%;37,83%;57,10%;28,71%;29,91%
12.09.2016;56,44%;57,38%;0,53%;59,23%;42,40%;40,95%;37,53%;57,40%;28,97%;27,18%
13.09.2016;56,17%;57,12%;0,53%;59,06%;42,32%;40,95%;37,46%;57,47%;28,43%;24,86%
14.09.2016;55,70%;56,86%;0,53%;58,72%;42,17%;40,42%;37,31%;57,55%;28,35%;24,89%
15.09.2016;55,22%;56,61%;0,53%;58,55%;42,09%;40,42%;37,31%;57,55%;28,28%;24,94%
16.09.2016;54,75%;56,46%;0,53%;58,04%;42,01%;40,07%;37,10%;57,55%;28,17%;25,04%
17.09.2016;54,14%;56,20%;0,53%;57,71%;41,78%;39,89%;36,96%;57,55%;28,06%;25,11%
18.09.2016;53,81%;55,94%;0,53%;57,20%;41,78%;40,07%;36,96%;57,63%;27,79%;25,30%
19.09.2016;53,14%;55,72%;0,53%;57,04%;41,70%;39,19%;36,89%;57,55%;27,65%;24,82%
20.09.2016;52,67%;55,50%;0,53%;56,70%;41,70%;39,02%;36,96%;58,28%;27,41%;24,91%
21.09.2016;52,40%;55,32%;0,53%;56,87%;41,55%;38,68%;36,76%;60,06%;27,36%;25,06%
22.09.2016;52,01%;55,17%;0,53%;56,53%;41,39%;38,51%;36,55%;60,60%;27,14%;25,34%
23.09.2016;51,87%;54,95%;0,53%;56,20%;41,32%;38,18%;36,55%;60,84%;26,96%;25,53%
24.09.2016;51,74%;54,88%;0,53%;56,03%;41,08%;37,84%;36,42%;60,92%;26,75%;25,62%
25.09.2016;51,61%;54,66%;0,53%;55,69%;40,78%;37,67%;36,23%;60,92%;26,59%;25,54%
26.09.2016;51,41%;54,47%;0,53%;55,69%;40,78%;37,50%;36,30%;60,92%;26,47%;33,98%
27.09.2016;51,15%;54,22%;0,53%;55,86%;40,78%;37,34%;36,30%;60,60%;26,35%;35,35%
28.09.2016;51,01%;54,18%;0,53%;55,86%;40,78%;37,17%;36,23%;60,14%;26,32%;49,18%
29.09.2016;50,75%;54,00%;0,53%;55,69%;40,55%;36,83%;36,11%;59,99%;26,20%;49,46%
30.09.2016;50,49%;53,81%;0,53%;55,36%;40,40%;36,66%;35,98%;58,80%;26,06%;44,29%
1.10.2016;50,23%;53,58%;0,53%;55,03%;40,32%;36,49%;35,91%;60,52%;25,92%;42,29%
2.10.2016;49,90%;53,34%;0,53%;54,69%;40,24%;36,16%;35,98%;60,92%;25,69%;41,36%
3.10.2016;49,44%;53,15%;0,51%;54,36%;39,86%;35,99%;35,86%;60,92%;25,55%;39,34%
4.10.2016;49,18%;52,93%;0,53%;53,86%;39,79%;35,82%;35,86%;61,01%;25,50%;37,42%
5.10.2016;48,85%;52,64%;0,53%;53,86%;39,56%;35,48%;35,80%;61,09%;25,46%;36,88%
6.10.2016;48,53%;52,45%;0,53%;53,20%;39,56%;35,48%;35,80%;61,09%;25,46%;36,18%
